epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
27,2020-07-01,90,SP,Adamantina,3500105,city,58,165.39295,2,5,0,0.0862,35068,False,False
27,2020-07-01,63,SP,Adolfo,3500204,city,22,617.63054,1,2,0,0.0909,3562,False,False
27,2020-07-01,70,SP,Aguaí,3500303,city,75,206.58312,3,4,0,0.0533,36305,False,False
27,2020-07-01,64,SP,Águas da Prata,3500402,city,2,24.44988,0,1,0,0.5,8180,False,False
27,2020-07-01,91,SP,Águas de Lindóia,3500501,city,42,224.53889,0,4,0,0.0952,18705,False,False
27,2020-07-01,55,SP,Águas de Santa Bárbara,3500550,city,6,98.76543,0,0,0,0.0,6075,False,False
27,2020-07-01,83,SP,Águas de São Pedro,3500600,city,8,231.81686,0,0,0,0.0,3451,False,False
27,2020-07-01,91,SP,Agudos,3500709,city,120,322.45929,14,3,0,0.025,37214,False,False
27,2020-07-01,77,SP,Alambari,3500758,city,16,265.56017,0,0,0,0.0,6025,False,False
27,2020-07-01,44,SP,Alfredo Marcondes,3500808,city,5,120.0192,0,2,0,0.4,4166,False,False
27,2020-07-01,47,SP,Altair,3500907,city,2,48.07692,0,0,0,0.0,4160,False,False
27,2020-07-01,50,SP,Altinópolis,3501004,city,18,111.22096,2,0,0,0.0,16184,False,False
27,2020-07-01,54,SP,Alto Alegre,3501103,city,3,73.18858,0,1,0,0.3333,4099,False,False
27,2020-07-01,51,SP,Alumínio,3501152,city,49,263.04488,1,2,0,0.0408,18628,False,False
27,2020-07-01,34,SP,Álvares Florence,3501202,city,5,135.9065,0,0,0,0.0,3679,False,False
27,2020-07-01,65,SP,Álvares Machado,3501301,city,60,240.81878,12,1,0,0.0167,24915,False,False
27,2020-07-01,55,SP,Álvaro de Carvalho,3501400,city,3,57.3943,0,2,0,0.6667,5227,False,False
27,2020-07-01,30,SP,Alvinlândia,3501509,city,1,31.03662,0,0,0,0.0,3222,False,False
27,2020-07-01,93,SP,Americana,3501608,city,579,241.65578,38,26,2,0.0449,239597,False,False
27,2020-07-01,82,SP,Américo Brasiliense,3501707,city,133,328.36263,12,2,0,0.015,40504,False,False
27,2020-07-01,56,SP,Américo de Campos,3501806,city,30,502.59675,2,0,0,0.0,5969,False,False
27,2020-07-01,82,SP,Amparo,3501905,city,151,209.15576,5,7,0,0.0464,72195,False,False
27,2020-07-01,22,SP,Analândia,3502002,city,4,80.08008,0,0,0,0.0,4995,False,False
27,2020-07-01,78,SP,Andradina,3502101,city,63,110.22272,0,4,0,0.0635,57157,False,False
27,2020-07-01,75,SP,Angatuba,3502200,city,58,229.90328,2,2,0,0.0345,25228,False,False
27,2020-07-01,63,SP,Anhembi,3502309,city,2,29.7442,0,0,0,0.0,6724,False,False
27,2020-07-01,47,SP,Anhumas,3502408,city,4,97.20535,0,0,0,0.0,4115,False,False
27,2020-07-01,75,SP,Aparecida,3502507,city,25,69.1429,6,0,0,0.0,36157,False,False
27,2020-07-01,21,SP,Aparecida d'Oeste,3502606,city,5,119.16111,0,0,0,0.0,4196,False,False
27,2020-07-01,78,SP,Apiaí,3502705,city,35,143.59563,0,1,0,0.0286,24374,False,False
27,2020-07-01,82,SP,Araçariguama,3502754,city,69,308.53157,0,2,0,0.029,22364,False,False
27,2020-07-01,93,SP,Araçatuba,3502804,city,774,392.86149,69,19,0,0.0245,197016,False,False
27,2020-07-01,83,SP,Araçoiaba da Serra,3502903,city,95,278.21707,1,3,0,0.0316,34146,False,False
27,2020-07-01,21,SP,Aramina,3503000,city,11,195.72954,1,1,0,0.0909,5620,False,False
27,2020-07-01,76,SP,Arandu,3503109,city,13,204.49898,0,2,0,0.1538,6357,False,False
27,2020-07-01,23,SP,Arapeí,3503158,city,1,40.50223,0,1,0,1.0,2469,False,False
27,2020-07-01,91,SP,Araraquara,3503208,city,984,416.82199,33,11,0,0.0112,236072,False,False
27,2020-07-01,86,SP,Araras,3503307,city,476,354.59936,21,13,2,0.0273,134236,False,False
27,2020-07-01,67,SP,Arealva,3503406,city,5,58.41121,0,0,0,0.0,8560,False,False
27,2020-07-01,8,SP,Areias,3503505,city,1,25.7334,0,0,0,0.0,3886,False,False
27,2020-07-01,70,SP,Areiópolis,3503604,city,21,188.6962,0,3,0,0.1429,11129,False,False
27,2020-07-01,43,SP,Ariranha,3503703,city,46,475.79644,2,0,0,0.0,9668,False,False
27,2020-07-01,84,SP,Artur Nogueira,3503802,city,71,130.49552,4,2,0,0.0282,54408,False,False
27,2020-07-01,98,SP,Arujá,3503901,city,556,618.98824,16,40,1,0.0719,89824,False,False
27,2020-07-01,30,SP,Aspásia,3503950,city,19,1042.8101,0,0,0,0.0,1822,False,False
27,2020-07-01,91,SP,Assis,3504008,city,203,194.47052,21,11,0,0.0542,104386,False,False
27,2020-07-01,90,SP,Atibaia,3504107,city,218,152.70277,9,11,0,0.0505,142761,False,False
27,2020-07-01,66,SP,Auriflama,3504206,city,45,296.26704,1,1,0,0.0222,15189,False,False
27,2020-07-01,75,SP,Avaí,3504305,city,10,185.08236,0,0,0,0.0,5403,False,False
27,2020-07-01,55,SP,Avanhandava,3504404,city,5,36.63272,0,0,0,0.0,13649,False,False
27,2020-07-01,85,SP,Avaré,3504503,city,121,133.47306,-1,10,0,0.0826,90655,False,False
27,2020-07-01,85,SP,Bady Bassitt,3504602,city,97,554.22237,8,5,0,0.0515,17502,False,False
27,2020-07-01,13,SP,Balbinos,3504701,city,0,,0,0,0,0.0,5735,False,False
27,2020-07-01,44,SP,Bálsamo,3504800,city,28,308.77812,4,0,0,0.0,9068,False,False
27,2020-07-01,56,SP,Bananal,3504909,city,7,63.95614,0,0,0,0.0,10945,False,False
27,2020-07-01,43,SP,Barão de Antonina,3505005,city,10,288.26751,1,0,0,0.0,3469,False,False
27,2020-07-01,53,SP,Barbosa,3505104,city,4,54.03945,0,0,0,0.0,7402,False,False
27,2020-07-01,79,SP,Bariri,3505203,city,73,207.00998,0,2,0,0.0274,35264,False,False
27,2020-07-01,69,SP,Barra Bonita,3505302,city,136,376.46017,12,3,0,0.0221,36126,False,False
27,2020-07-01,13,SP,Barra do Chapéu,3505351,city,3,52.4109,0,0,0,0.0,5724,False,False
27,2020-07-01,84,SP,Barra do Turvo,3505401,city,14,182.79149,1,1,0,0.0714,7659,False,False
27,2020-07-01,86,SP,Barretos,3505500,city,1038,850.13678,50,37,1,0.0356,122098,False,False
27,2020-07-01,70,SP,Barrinha,3505609,city,98,298.67122,6,5,0,0.051,32812,False,False
27,2020-07-01,106,SP,Barueri,3505708,city,2143,781.59762,39,205,3,0.0957,274182,False,False
27,2020-07-01,42,SP,Bastos,3505807,city,6,28.63552,1,0,0,0.0,20953,False,False
27,2020-07-01,85,SP,Batatais,3505906,city,71,113.58546,3,1,0,0.0141,62508,False,False
27,2020-07-01,93,SP,Bauru,3506003,city,1409,373.92057,40,29,3,0.0206,376818,False,False
27,2020-07-01,86,SP,Bebedouro,3506102,city,86,110.97347,5,6,0,0.0698,77496,False,False
27,2020-07-01,26,SP,Bento de Abreu,3506201,city,4,134.22819,0,0,0,0.0,2980,False,False
27,2020-07-01,57,SP,Bernardino de Campos,3506300,city,22,197.34482,0,0,0,0.0,11148,False,False
27,2020-07-01,58,SP,Bertioga,3506359,city,534,844.28212,96,14,0,0.0262,63249,False,False
27,2020-07-01,78,SP,Bilac,3506409,city,5,62.2355,-1,0,0,0.0,8034,False,False
27,2020-07-01,87,SP,Birigui,3506508,city,261,211.10015,12,9,1,0.0345,123638,False,False
27,2020-07-01,70,SP,Biritiba-Mirim,3506607,city,73,223.94012,1,7,0,0.0959,32598,False,False
27,2020-07-01,43,SP,Boa Esperança do Sul,3506706,city,26,174.2277,4,1,0,0.0385,14923,False,False
